Plant,Model,MAE,RMSE,MAPE_pct
Plant 1:,SARIMA,1.7022991432453527,1.9160297310752996,24.929643917516113
Plant 2:,SARIMA,1.3848473333098004,1.5222972130775048,24.484042969970908
